City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Newtownards,GB,54.5924,-5.6909,49.95,87,75,3.0,broken clouds
276,Kropachevo,RU,55.0112,57.9896,16.25,88,100,14.65,overcast clouds
277,New Norfolk,AU,-42.7826,147.0587,72.9,93,100,2.3,overcast clouds
278,Mar Del Plata,AR,-38.0023,-57.5575,64.09,70,75,3.0,broken clouds
279,Carnarvon,AU,-24.8667,113.6333,80.67,65,40,13.8,scattered clouds
280,Smirnykh,RU,49.75,142.8333,10.24,70,9,5.79,clear sky
281,Santiago Del Estero,AR,-27.7951,-64.2615,74.59,94,100,6.08,overcast clouds
282,Sfantu Gheorghe,RO,45.8667,25.7833,22.82,97,100,1.97,overcast clouds
283,Mokhsogollokh,RU,61.4681,128.9203,-19.41,98,100,2.3,overcast clouds
284,Port Hawkesbury,CA,45.6169,-61.3485,21.18,89,100,8.01,overcast clouds
285,Tartus,SY,34.889,35.8866,43.09,81,100,14.81,light rain
286,Rantepao,ID,-2.9701,119.8978,81.14,62,100,2.26,overcast clouds
287,Sorland,NO,67.667,12.6934,38.39,75,88,8.84,overcast clouds
288,Badou,TG,7.5833,0.6,70.11,26,0,1.83,clear sky
289,Merauke,ID,-8.4667,140.3333,83.98,70,100,9.57,overcast clouds
290,Newton Stewart,GB,54.9578,-4.4832,48.15,88,90,16.22,overcast clouds
291,Okakarara,NA,-20.5833,17.4333,71.29,54,88,3.89,overcast clouds
292,Turukhansk,RU,65.8167,87.9833,-6.84,93,100,14.61,overcast clouds
293,Natal,BR,-5.795,-35.2094,77.65,88,20,3.44,moderate rain
294,Carroll,US,39.5501,-77.0164,23.72,60,0,1.01,clear sky
295,Leningradskiy,RU,69.3833,178.4167,-25.26,90,10,3.87,clear sky
296,Ossora,RU,59.2353,163.0719,16.81,93,100,18.43,snow
297,Saint-Pierre,RE,-21.3393,55.4781,71.28,60,40,9.22,scattered clouds
298,Roma,US,43.2128,-75.4557,3.38,79,0,0.0,clear sky
299,Campechuela,CU,20.2342,-77.2789,74.17,83,0,3.11,clear sky
300,Acapulco,MX,16.8634,-99.8901,78.62,83,20,4.61,few clouds
301,Walla Walla,US,46.0646,-118.343,33.49,86,100,1.99,overcast clouds
302,Vagur,FO,61.4732,-6.8119,39.18,74,95,31.83,overcast clouds
303,Te Anau,NZ,-45.4167,167.7167,62.13,38,25,3.87,scattered clouds
304,Maunabo,PR,18.0072,-65.8993,76.84,85,0,8.41,clear sky
305,Ronneby,SE,56.21,15.276,39.7,100,100,6.91,overcast clouds
306,Bastia,FR,42.6667,9.3333,49.3,73,0,9.22,clear sky
307,Chapais,CA,49.7834,-74.8492,-8.46,87,30,12.24,scattered clouds
308,Rosita,NI,13.9268,-84.4032,67.42,82,45,1.72,scattered clouds
309,Radcliff,US,37.8404,-85.9491,20.05,58,0,0.0,clear sky
310,Olinda,BR,-8.0089,-34.8553,82.13,74,40,8.05,scattered clouds
311,Sol-Iletsk,RU,51.1631,54.9918,4.24,100,93,1.95,overcast clouds
312,Mayo,US,38.8876,-76.5119,27.95,52,0,7.0,clear sky
313,High Level,CA,58.5169,-117.136,9.28,97,29,3.38,scattered clouds
314,Yumen,CN,40.2833,97.2,19.2,44,91,7.09,overcast clouds
315,Monte Alegre,BR,-2.0078,-54.0692,77.97,75,100,3.09,overcast clouds
316,Ancud,CL,-41.8697,-73.8203,60.33,78,0,1.81,clear sky
317,Port Hardy,CA,50.6996,-127.4199,41.76,73,99,2.89,overcast clouds
318,Hohhot,CN,40.8106,111.6522,14.05,48,2,3.47,clear sky
319,Luba,GQ,3.4568,8.5547,79.93,83,61,6.51,broken clouds
320,Barreiras,BR,-12.1528,-44.99,70.21,94,100,2.06,overcast clouds
321,Vila Velha,BR,-20.3297,-40.2925,75.15,83,0,8.05,clear sky
322,Vladesti,RO,45.1167,24.3,27.95,75,8,4.09,clear sky
323,Dwarka,IN,22.2394,68.9678,64.2,43,0,9.66,clear sky
324,Xiamen,CN,24.4798,118.0819,61.2,86,46,2.17,scattered clouds
325,Leh,IN,34.1667,77.5833,-9.18,88,99,3.51,overcast clouds
326,Beringovskiy,RU,63.05,179.3167,1.83,95,100,6.33,overcast clouds
327,Havre-Saint-Pierre,CA,50.2334,-63.5986,-2.24,76,6,7.81,clear sky
328,Garissa,KE,-0.4536,39.6401,73.53,80,4,7.7,clear sky
329,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3,broken clouds
330,Shakawe,BW,-18.3667,21.85,65.75,95,99,3.04,light rain
331,Baturaja,ID,-4.1333,104.1667,78.28,86,100,3.15,overcast clouds
332,Jibuti,DJ,11.5,42.5,67.42,78,0,10.89,clear sky
333,Bereda,ES,43.2686,-7.5406,37.15,100,34,1.68,scattered clouds
334,Samarai,PG,-10.6167,150.6667,84.96,72,100,0.45,overcast clouds
335,Takaungu,KE,-3.6837,39.8566,75.31,82,60,6.73,broken clouds
336,Senneterre,CA,48.3835,-77.2328,-1.14,86,59,13.49,broken clouds
337,Lompoc,US,34.6391,-120.4579,58.78,84,0,3.44,clear sky
338,Wanning,CN,18.8003,110.3967,74.7,82,50,7.56,scattered clouds
339,Hofn,IS,64.2539,-15.2082,30.79,53,100,9.51,overcast clouds
340,Klaksvik,FO,62.2266,-6.589,36.52,77,100,31.21,overcast clouds
341,Olafsvik,IS,64.8945,-23.7142,33.85,60,100,6.17,overcast clouds
342,Luena,AO,-11.7833,19.9167,61.16,97,100,4.56,overcast clouds
343,Ginir,ET,7.1333,40.7,52.11,32,0,4.61,clear sky
